timestamp,error_code,message,log_type,severity,source_ip,destination_ip,process,cluster,is_outlier
2025-01-01 00:01:50,201,Transaction T7416135 completed and recorded.,Http Success,Low,192.168.1.10,192.168.1.30,Database Server,0,False
2025-01-01 00:02:21,200,User User627035 logged in successfully.,Http Success,Low,53.26.85.240,192.168.1.10,Web Server,1,False
2025-01-01 00:05:31,301,Redirection successful for secure login.,HTTP Error,Low,27.78.247.46,192.168.1.10,Web Server,2,False
2025-01-01 00:06:15,401,Security token missing in authentication process.,HTTP Error,Medium,151.130.32.102,192.168.1.10,Web Server,3,False
2025-01-01 00:07:05,200,Payment Session P4833715 initiated for authenticated user.,Http Success,Low,192.168.1.40,192.168.1.20,Payment Gateway,4,False
2025-01-01 00:08:10,301,Page redirection to updated banking portal.,HTTP Error,Low,95.175.5.62,192.168.1.40,Load Balancer,5,False
2025-01-01 00:10:20,401,Unauthorized access attempt to sensitive data.,HTTP Error,Critical,53.46.112.178,192.168.1.50,Firewall,6,False
2025-01-01 00:14:04,200,Transaction T4271634 completed without errors.,Http Success,Low,151.180.171.5,192.168.1.10,Web Server,0,False
2025-01-01 00:14:28,403,Suspicious access attempt using expired credentials.,HTTP Error,High,174.46.244.181,192.168.1.10,Web Server,7,False
2025-01-01 00:15:25,301,Page redirection to updated banking portal.,HTTP Error,Low,136.200.239.133,192.168.1.40,Load Balancer,5,False
2025-01-01 00:15:37,400,Invalid transaction request syntax.,HTTP Error,High,197.225.17.91,192.168.1.40,Load Balancer,8,False
2025-01-01 00:16:30,404,Account details endpoint unavailable.,HTTP Error,Medium,89.239.218.200,192.168.1.40,Load Balancer,9,False
2025-01-01 00:16:33,301,Redirection to new payment endpoint successful.,HTTP Error,Low,125.140.141.10,192.168.1.40,Load Balancer,10,False
2025-01-01 00:16:52,404,Invalid URL for credit card statement lookup.,HTTP Error,Medium,184.120.186.199,192.168.1.40,Load Balancer,11,False
2025-01-01 00:17:52,404,Invalid URL for credit card statement lookup.,HTTP Error,Medium,58.11.81.10,192.168.1.40,Load Balancer,11,False
2025-01-01 00:17:56,500,MemoryError: Out of memory during high transaction load.,System Failure,Medium,192.168.1.10,192.168.1.30,Database Server,12,False
2025-01-01 00:18:43,334,SMTP server certificate validation error.,Email Failure,High,42.128.44.44,192.168.1.60,Email Service,-1,True
2025-01-01 00:19:39,403,Unauthorized access attempt detected from unknown IP.,Security Breach,Critical,42.165.134.88,192.168.1.50,Firewall,13,False
2025-01-01 00:21:51,403,Potential brute force attack identified.,Security Breach,Critical,90.206.185.167,192.168.1.50,Firewall,14,False
2025-01-01 00:24:04,401,Login failed due to incorrect credentials.,HTTP Error,Medium,171.90.107.45,192.168.1.10,Web Server,15,False
2025-01-01 00:25:21,401,Unauthorized access attempt to sensitive data.,HTTP Error,Critical,182.40.11.33,192.168.1.50,Firewall,6,False
2025-01-01 00:25:54,500,Corrupted data block found in transaction logs.,System Failure,High,192.168.1.40,192.168.1.20,Payment Gateway,16,False
2025-01-01 00:27:13,404,Transaction history page missing.,HTTP Error,Medium,223.125.173.152,192.168.1.10,Web Server,17,False
2025-01-01 00:27:26,404,Requested banking resource not found.,HTTP Error,Medium,38.227.162.32,192.168.1.40,Load Balancer,18,False
2025-01-01 00:27:40,301,Redirection to new payment endpoint successful.,HTTP Error,Low,94.248.16.80,192.168.1.40,Load Balancer,10,False
2025-01-01 00:28:00,200,User User788676 logged out successfully.,Http Success,Low,29.196.21.18,192.168.1.10,Web Server,1,False
2025-01-01 00:28:46,500,NameError: Variable 'account_balance' not defined in fund transfer function.,System Failure,Medium,192.168.1.40,192.168.1.20,Payment Gateway,19,False
2025-01-01 00:29:45,403,Potential brute force attack identified.,Security Breach,Critical,79.250.75.29,192.168.1.50,Firewall,14,False
